name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn130628860,6.793929839446144e-06,10.94648349387138,0.512,comp,"[-0.6597789, 1153.93]"
bn090308734,2.605816760215615e-06,6.7420624258020885,1.664,comp,"[-0.5395959, 613.8003]"
bn100719311,4.0310335687076755e-06,4.186056054203643,1.6,plaw,[1.305823]
bn170101374,2.5085906196795605e-07,1.58274995811883,2.304,comp,"[-0.1335389, 185.1384]"
bn150805746,7.441464493981277e-07,4.730642227304868,1.408,plaw,[1.867881]
bn150412507,1.0042080550529435e-06,4.708703894993706,0.576,plaw,[1.76513]
bn151202565,3.907173239537126e-06,7.220082555061988,0.704,comp,"[-0.8062927, 1154.13]"
bn100216422,1.8990489364126118e-06,5.719459438330105,0.192,comp,"[0.06048958, 386.0227]"
bn120506128,7.051762259171903e-07,1.5967489639268102,2.304,plaw,[1.540919]
bn120212353,1.0895596762596946e-05,5.999028617132631,0.864,plaw,[1.093697]
bn180206203,5.251927212106203e-06,6.704602555452073,0.448,plaw,[1.369361]
bn170915520,1.8233704916475548e-06,4.656641198457837,0.64,comp,"[-0.4608204, 590.2501]"
bn180715755,4.415871372659054e-06,6.281829743353457,0.704,comp,"[-0.112533, 902.2797]"
bn081024245,6.902563131276899e-06,7.531305519417018,0.832,plaw,[1.321192]
bn111011094,2.4080742034367353e-06,10.825617730692727,1.472,comp,"[-0.6625118, 351.1842]"
bn100811108,1.3839592492434447e-05,16.24056519515673,0.384,comp,"[-0.1667924, 1130.748]"
bn101021063,4.9031019130146005e-06,5.001192979999022,1.536,plaw,[1.300222]
bn100827455,7.7672389210591e-06,15.126560058526735,0.576,comp,"[-0.3420875, 735.2537]"
bn110509475,4.06466692961516e-06,6.020216931614912,0.64,plaw,[1.414255]
bn091012783,5.862423188523224e-06,13.422011011865232,0.704,comp,"[-0.4491792, 660.5104]"
bn090520832,2.7684113188009148e-06,5.754285615344392,0.768,plaw,[1.515406]
bn171230119,4.355761886020974e-06,5.567912149159679,1.28,comp,"[-0.8616033, 1922.165]"
bn140105065,2.2726453585235782e-06,5.348171318202458,1.088,comp,"[-0.9611638, 1047.484]"
bn090331681,2.1598818068113607e-06,4.883089822869466,0.832,comp,"[-0.6064378, 751.839]"
bn141208632,3.412169047269015e-06,5.086406221148495,0.96,plaw,[1.416187]
bn160624477,5.122536783491786e-06,5.45882856336548,0.384,plaw,[1.313872]
bn161210524,1.0831163035805301e-06,1.746744200093874,2.304,plaw,[1.439766]
bn120101354,9.952644188638323e-07,6.229002859730241,0.128,comp,"[-0.3315439, 200.2687]"
bn141102112,5.885360754312782e-06,9.55816497917782,0.016,plaw,[1.441864]
bn081107321,6.521617006109458e-07,9.360728593471363,1.664,comp,"[-0.3759126, 70.81098]"
bn101129726,4.082647750062381e-06,9.529197229278875,0.576,comp,"[-0.7622867, 835.1282]"
bn111112908,6.365070455086943e-06,14.871139674290413,0.224,comp,"[-0.864512, 933.1935]"
bn140511095,1.4834663173173027e-06,8.290548746821386,1.408,comp,"[-0.9484671, 328.4363]"
bn090717111,3.827742543840784e-06,4.619734214810109,0.384,plaw,[1.352241]
bn160822672,7.692077068949601e-06,22.921091035051717,0.04,comp,"[-0.822139, 661.2325]"
bn180417689,4.9807426485905015e-06,8.399750160779313,0.256,plaw,[1.453125]
bn150715136,1.5148278871064944e-06,3.4527422512147563,0.384,comp,"[-0.8518311, 947.4437]"
bn180225417,2.5561226154965535e-06,4.4821828031130755,0.896,comp,"[-0.5777379, 974.7769]"
bn100629801,1.788722744254467e-06,12.243006051290664,0.832,comp,"[-0.7815721, 221.6978]"
bn180204109,4.704307164820773e-06,12.046521407223988,1.152,comp,"[-0.8839226, 852.8797]"
bn161026373,8.631373813837978e-07,4.8804360017727175,0.112,comp,"[-0.777012, 284.2669]"
bn090819607,2.0978352886489993e-06,6.293774349474611,0.192,comp,"[-0.06216746, 405.5841]"
bn170926782,5.430369677227797e-07,5.858679352282125,0.896,comp,"[-0.5998119, 110.7527]"
bn090510016,2.723157463355152e-05,17.66484335543551,0.96,comp,"[-0.8582567, 4727.058]"
bn091006360,5.312972163520974e-07,4.058054782347826,0.192,comp,"[-0.6492926, 179.138]"
bn090108020,1.0163038065033836e-06,9.929064959929724,0.704,comp,"[-0.6679534, 129.8776]"
bn170817529,2.3784091225450274e-06,3.6894966785049634,2.048,plaw,[1.428136]
bn140912664,2.555143915094892e-07,1.3205346777771874,2.304,comp,"[-0.4830689, 268.0318]"
bn170726249,5.282477370598211e-07,3.415678943142375,1.792,comp,"[-0.4985754, 206.3862]"
bn120603439,1.1188469659790979e-06,3.333831090918437,0.384,comp,"[-0.8006601, 647.3687]"
bn170121133,4.928810299018839e-06,5.774309952493094,1.6,plaw,[1.343128]
bn141205337,6.95177872844904e-06,6.736727763209073,1.28,plaw,[1.284128]
bn090621922,4.311222373189026e-06,10.376067271522526,0.384,comp,"[-0.09899004, 519.2835]"
bn121012724,3.4893217691728954e-06,9.22704393613825,0.448,comp,"[-0.4912427, 579.3709]"
bn110705151,1.7634789444447982e-05,23.952722932420865,0.192,comp,"[-0.2600401, 1023.676]"
bn090228204,1.4820998499059196e-05,29.75889745683513,0.448,comp,"[-0.6096338, 861.4447]"
bn081024891,2.4715345823608016e-06,3.710398138601457,0.64,comp,"[-0.9356987, 1772.778]"
bn170127067,4.341188922957119e-05,57.57768980107842,0.128,comp,"[0.1977072, 853.9544]"
bn111022854,1.4326695874909403e-06,6.019478447001055,0.192,comp,"[-0.6220712, 370.9891]"
bn121127914,7.71863270641981e-06,13.89500241396338,0.64,comp,"[-0.5996025, 964.7147]"
bn161110179,3.773304995786646e-06,3.48646053134935,1.792,plaw,[1.269036]
bn120429003,6.080155483902179e-07,3.944465037022686,1.664,comp,"[-1.017845, 281.5007]"
bn101031625,1.5437428479497544e-06,8.274247710322697,0.384,comp,"[-0.8882931, 330.9054]"
bn110401920,5.951656678063295e-06,9.64580770396461,2.368,comp,"[-0.7648572, 1281.506]"
bn170604603,5.676992480128125e-06,9.53568828015814,0.32,comp,"[-0.5403653, 990.7679]"
bn160211119,2.521494129266772e-06,3.425046637764223,0.96,plaw,[1.388179]
bn081115891,4.0479982323533495e-06,3.729966140672248,0.32,plaw,[1.268158]
bn150922234,4.324965420199967e-06,12.902970444994159,0.144,comp,"[-0.5193607, 515.6516]"
bn150705588,1.5880702082820336e-06,6.3831682942160555,0.704,plaw,[1.715829]
bn090814368,4.404425688597497e-06,9.296170555989146,0.192,comp,"[-0.4337014, 714.4023]"
bn120519721,5.214733997304044e-06,9.788991626010024,1.056,comp,"[-0.4478355, 819.0082]"
bn090802235,5.087301299921192e-06,21.677857489516967,0.048,comp,"[-0.5641558, 351.8253]"
bn100411516,4.907973323759041e-07,0.9324027503290443,0.512,plaw,[1.488628]
bn130919173,7.105624140368293e-07,7.306032513220299,0.96,comp,"[-0.5474918, 116.3509]"
bn151222340,7.966478837372408e-06,10.743723428426726,0.768,comp,"[-0.5932693, 1318.725]"
bn090109332,1.1370391955002628e-06,3.3781868245001756,1.728,plaw,[1.622516]
bn130307126,9.321458715559792e-06,11.724484491102297,0.384,comp,"[-0.7818725, 1752.764]"
bn170912985,4.766952735158694e-06,6.890502699019298,0.48,plaw,[1.406932]
bn090120627,6.018815055856888e-06,4.751380890275479,1.856,comp,"[-0.6475313, 2520.527]"
bn090924625,3.1716441593246864e-06,7.9354642171547685,0.352,comp,"[-0.5020451, 620.6631]"
bn121102064,4.780988232261797e-06,5.661046805059226,2.048,plaw,[1.346392]
bn140901821,3.524144346126918e-05,39.75336292122223,0.176,comp,"[-0.3904769, 1352.723]"
bn120129312,2.4082764890793086e-06,3.2269020898099177,1.28,comp,"[-0.4861467, 1211.39]"
bn140619490,2.0895135255033814e-06,11.787922284643544,0.448,comp,"[-0.4909284, 242.4708]"
bn140224382,1.2494008106923993e-06,2.524778963038089,2.304,comp,"[-0.9904461, 1329.403]"
bn140626843,7.752876928885368e-07,6.3226512445527066,1.792,comp,"[-0.796208, 176.1007]"
bn090328713,1.1280076845696971e-05,14.94251116481627,0.192,comp,"[-0.9078408, 1978.796]"
bn150828901,1.1222234413912515e-06,1.3850772863001402,2.048,plaw,[1.359079]
bn111222619,2.0067762505525974e-05,40.01563935569644,0.288,comp,"[-0.3949346, 740.759]"
bn121023322,4.647199599252981e-06,8.19428801298668,0.512,comp,"[-0.8776175, 1335.68]"
bn100706693,2.6685477351994237e-06,4.374164053461535,0.128,comp,"[-0.2465212, 834.7422]"
bn090418816,1.7330996018214715e-06,2.0553955200482443,0.32,plaw,[1.346881]
bn160806584,9.743127678835907e-07,8.811332110604694,1.664,comp,"[-0.5626919, 138.6533]"
bn170304003,8.443964645551153e-07,11.774179595392862,0.16,comp,"[-1.107594, 86.40084]"
bn161218222,1.908528659240739e-05,14.904950160936124,0.32,comp,"[-0.3889576, 1986.234]"
bn120314412,3.6712986024353624e-06,3.8806558932038597,1.28,plaw,[1.311345]
bn170511648,9.687660422126237e-07,3.2428358483317408,1.28,plaw,[1.658912]
bn120915000,2.5338013877271933e-06,4.903951739579248,0.576,comp,"[-0.4281524, 781.8129]"
bn080806584,4.3648483350205274e-07,1.6939517533921045,2.304,plaw,[1.704795]
bn141111435,6.760293802767975e-06,4.036557283836257,1.728,plaw,[1.122932]
bn130219626,1.4482151366022629e-06,6.440144638734237,1.536,comp,"[-0.0639023, 266.4166]"
bn110112934,1.8570347300403856e-06,6.008926779970664,2.304,comp,"[-0.7354548, 552.0621]"
bn130924910,1.3822630951008314e-06,3.5919137218765713,1.792,plaw,[1.58211]
bn150721431,3.95020325084157e-06,5.319548946238618,0.32,plaw,[1.385565]
bn150609316,5.128765409649946e-06,7.373943563399044,0.256,plaw,[1.405322]
bn150325696,1.6831618568394608e-06,6.076718306017567,0.08,comp,"[0.09633534, 315.3902]"
bn180525151,4.7808421541146275e-06,7.602489545306558,0.544,comp,"[-0.4917646, 1011.928]"
bn180511364,2.4329076729112164e-06,6.6327987935507124,0.128,comp,"[-0.8308135, 744.0004]"
bn150605782,3.46700839239169e-06,9.886502177008941,0.176,plaw,[1.610093]
bn161115745,7.994091181947968e-06,8.298356325208982,0.032,plaw,[1.305704]
bn100929916,5.7062656550770355e-06,10.083597013137497,0.32,comp,"[-0.7349309, 1122.155]"
bn081102365,1.2457860736931309e-06,3.770498343491197,1.728,comp,"[-0.8125097, 642.5339]"
bn100302061,6.860184303516307e-06,5.703677353611136,2.24,comp,"[-0.7538889, 2739.251]"
bn180602938,2.5157485928843142e-06,10.12140140559982,0.008,comp,"[-0.5978773, 384.5051]"
bn130705398,4.560675385684189e-06,5.1679688544962,0.128,plaw,[1.332882]
bn120814803,5.395545548322132e-06,4.748667142973954,0.192,plaw,[1.253489]
bn091126333,2.0409577605918817e-06,7.767136858199383,0.192,comp,"[-0.2651718, 342.1027]"
bn160821937,1.0499302653306153e-06,6.5417118934651555,1.088,plaw,[1.860818]
bn140526571,4.803730029507273e-06,4.595943684375109,0.064,plaw,[1.280087]
bn150819440,9.299814010696024e-06,43.092477641719015,0.96,comp,"[-1.136249, 523.8768]"
bn150128624,5.6076885009743775e-06,15.282488800538374,0.096,plaw,[1.596424]
bn150811849,1.4547612174774599e-05,15.287626741246589,0.64,comp,"[-0.3058705, 1375.016]"
bn160829334,2.172073575102614e-06,4.868549299846377,0.512,comp,"[-0.192975, 584.2841]"
bn100612545,6.673582647924178e-06,8.551624394216564,0.576,comp,"[-0.1934675, 1047.508]"
