name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn150316400,1.543296746310281e-06,2.923072583009608,1.984,plaw,[1.487729]
bn110517453,5.101111804934765e-06,5.061804257638168,0.576,plaw,[1.291586]
bn100625773,4.474724099692356e-06,14.780863668086287,0.24,comp,"[-0.5947551, 483.189]"
bn120327418,1.211746967065948e-06,6.383718274630897,0.256,comp,"[-0.305056, 241.8336]"
bn130127743,5.061165241313139e-06,8.297148112104045,0.144,comp,"[0.06320828, 722.8948]"
bn100208386,5.469001512924745e-06,4.923430622368748,0.192,plaw,[1.260736]
bn121014638,2.339752961267045e-06,4.195556360913291,0.576,plaw,[1.471425]
bn090531775,4.27356443987383e-06,4.797059224111441,0.768,comp,"[-0.6363609, 1682.377]"
bn091019750,1.3641837231816815e-06,7.8603682401867525,0.208,comp,"[-0.260731, 214.5296]"
bn110728056,1.5574420570424373e-06,4.542614966359054,0.704,comp,"[-0.7102456, 611.406]"
bn100717446,1.6849059580785438e-06,4.133435647874339,2.432,comp,"[-0.6197731, 692.8386]"
bn160804180,3.637834477335076e-06,8.316955346956814,0.64,comp,"[-0.5215968, 695.5443]"
bn150628767,1.3288494060366223e-06,3.541249933226383,0.64,comp,"[-0.1990396, 487.7806]"
bn140129499,6.00091243975545e-06,7.740566610162724,0.128,plaw,[1.372511]
bn180130744,2.9596679303128704e-06,6.459821474339156,0.256,plaw,[1.52996]
bn141124277,4.133184598594645e-06,5.536193700166678,0.512,plaw,[1.383942]
bn110801335,3.5642652082921073e-06,11.966718203097102,0.384,plaw,[1.659831]
bn160726065,2.226868193360931e-06,10.952245398110485,0.768,comp,"[-0.8683226, 365.0328]"
bn081226044,1.7553940051605527e-06,5.722835248927925,0.832,comp,"[-0.8072595, 583.4851]"
bn120210650,5.617866943517487e-07,3.7000107904811848,1.344,plaw,[1.880428]
bn100805300,1.4257415130331756e-05,28.326649555826062,0.064,plaw,[1.501964]
bn131006367,6.130195954927256e-06,5.778729668687307,0.128,plaw,[1.275394]
bn180511437,4.173414344932197e-07,4.936501443540984,1.984,comp,"[-0.9226517, 107.5333]"
bn130716442,1.326838910624794e-05,5.694522967051237,0.768,plaw,[0.9977308]
bn081105614,1.2541252307451164e-05,9.200848932045211,1.28,plaw,[1.193876]
bn081204517,1.5107822673263308e-06,7.716538109349071,0.192,comp,"[-0.657518, 299.4318]"
bn101224227,4.0020859447075936e-06,5.9838418662234485,1.728,plaw,[1.417095]
